Title,Author,Source,Persona,Date_Collected,Trend_Reason,Genre Tag(s),Series,Publisher,First_Publish_Year,Page_Count,Adaptation,Diversity_Rep,Content_Warnings,Description,Notes,,,,"why trending? New release, adaptation buzz, politics, author controversy? ",,,,,Publisher,First Publish Year,Subject Tags,Is_Series,Adaptation,Pacing,Diverrsity Representation,Content Warnings,,,,,
His Face Is the Sun,Michelle Jabes Corpora,Barnes and Noble Reads,,,,YA,,,,,,,,,new series,,,,,,,,,,,LGBTQ+ rep,,,,,,,,,,
I Am Not Jessica Chen,Anna Liang,Barnes and Noble Reads,,,,YA,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
All the Missing Pieces,Catherine Cowles,BookTok January 2025,,,,,,,,,,,,,new january release,,,,,,,,,,,,,,,,,,,,,
Bad Little Bride,Meagan Brandy,BookTok January 2025,,,,,,,,,,,,,new january release,,,,,,,,,,,,,,,,,,,,,
Stealing Sunshine,Hannah Cowan,BookTok January 2025,,,,,,,,,,,,,new january release,,,,,,,,,,,,,,,,,,,,,
Immortal ,Sue Lynn Tan,BookTok January 2025,,,,,,,,,,,,,new january release,,,,,,,,,,,,,,,,,,,,,
Steal My Heart,Laura Pavlov,BookTok January 2025,,,,,,,,,,,,,new january release,,,,,,,,,,,,,,,,,,,,,
Chase Lovett Wants Me,Helena Hunting,BookTok January 2025,,,,,,,,,,,,,new january release,,,,,,,,,,,,,,,,,,,,,
His in the Dark,Willa Winters,BookTok January 2025,,,,,,,,,,,,,new january release,,,,,,,,,,,,,,,,,,,,,
Once Smitten Twice Shy,Chloe Liese,BookTok January 2025,,,,,,,,,,,,,new january release,,,,,,,,,,,,,,,,,,,,,
Beautiful Ugly,Alice Feeney,BookTok January 2025,,,,,,,,,,,,,new january release,,,,,,,,,,,,,,,,,,,,,
Reckless Love,,BookTok January 2025,,,,,,,,,,,,,new january release,,,,,,,,,,,,,,,,,,,,,
Cruel is the Light,Sophie Clark,BookTok January 2025,,,,,,,,,,,,,new january release,,,,,,,,,,,,,,,,,,,,,
Out of the Woods,Hannah Bonam-Young,BookTok January 2025,,,,,,,,,,,,,new january release,,,,,,,,,,,,,,,,,,,,,
Spiral,Bal Khabra,BookTok January 2025,,,,,,,,,,,,,new january release,,,,,,,,,,,,,,,,,,,,,
Where Did You Go,Jeneane O'Riley,BookTok January 2025,,,,,,,,,,,,,new january release,,,,,,,,,,,,,,,,,,,,,
The Night Defying,Chloe C. Penaranda,BookTok January 2025,,,,,,,,,,,,,new january release,,,,,,,,,,,,,,,,,,,,,
The Crash,Frieda McFadden,BookTok January 2025,,,,,,,,,,,,,new january release,,,,,,,,,,,,,,,,,,,,,
Comeback,Rebecca Jenshak,BookTok January 2025,,,,,,,,,,,,,new january release,,,,,,,,,,,,,,,,,,,,,
Phantom ,H. D. Carlton,BookTok January 2025,,,,,,,,,,,,,new january release,,,,,,,,,,,,,,,,,,,,,
The Wedding People,Alison Espach,BookTok January 2025,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
The Favourites,Layne Fargo,BookTok January 2025,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Binding 13,Chloe Walsh,BookTok January 2025,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
